Gene_1	Gene_2
ICAM1	RPL17
RP3-339A18.4	RP5-1077B9.3
ACSM5	RP1-85F18.1
CGI-95	RP11-96K19.1
PRDX2	PRDX4
RP5-1112D6.1	TERF2
DASS-97D12.7	FOXD4L6
RP1-154G14.1	RP11-554C12.1
EGFR	HSPA4
DADB-333F21.5	RP1-130E4.1
ALPP	RP3-330O12.3
CCT2	PSMC6
APP	ARMC7
AKAP5	CALM1
PP8000	WDR92
CCT7	LA16c-313D11.6
PCNA	UNG
RP11-575L7.1	TP53
ANKRD17	CDX1
ICAM1	MYH3
RBM3	UPF1
TUBGCP5	UBC
RP1-85F18.1	RP23-413I12.1
RP3-330O12.3	UNQ2431/PRO4991
C4orf27	HIST3H3
BAZ1B	GS1-120K12.1
RP1-130E4.1	SMARCD1
MEPCE	RPAP1
HSPC057	SNRPD3
HIST2H2AC	RP3-392M17.3
RFC1	UBC
DNAJB1	RP5-973N23.1
CCT5	POC1A
APP	ZNF449
RP11-383C12.1	TBL1XR1
CCT5	RPAP2
BCL7B	PP8000
DDX1	MCM2
RP11-349J5.1	SRPK2
RP11-574K11.6	SMAD3
GPS2	HLC10
APP	DAAP-57C1.2
DADB-110M10.5	PIN1
RP1-130E4.1	XBP1
RP11-348N5.4	VCP
DNAJB1	MAST1
NCOR1	TP53
AC002059.7	MRPL57
UBR5	ZNF746
RP11-203D19.1	RP23-139P21.1
PUM2	RP5-1167H4.6
SP1	TUBA1B
APP	FKSG82
RP4-675E8.1	ZNF746
AC002059.7	HSPC315
FBL	MCM2
HSPC057	RP4-789D17.1
HIST3H3	TADA3
SRPK2	UBE2E2
CUL3	PKP2
PPM1A	PTK7
PRDX2	RP11-452K12.8
RP11-443G18.6	TCP1
GEMIN2	NCKIPSD
H2AFV	RP11-391H12.1
PMS1	RP5-1112D6.1
TUBA1C	TUBA4A
CDK1	RP1-85F18.1
ARHGEF12	CUL3
RP1-130E4.1	ZNF398
CPE	PSG1
HSPA4	TERF1
DADB-87H23.3	RP13-122B23.5
PNAS-22	UBE3A
JUN	RP11-383C12.1
CCT4	Cct8
KIF1C	RP1-148E22.1
CCT6A	WDR5B
PPP1CA	RP1-5O6.1
MCM2	PSME2
PBK	TERT
CENPC	RPAP1
AL023881.1	RP1-85F18.1
RP11-203D19.1	RP3-398I9.1
ATR	PMS1
AC002059.7	RP13-228J13.4
TMEM223	UBC
NDUFS1	SDHB
CUL3	ZNF326
LRRC36	TBL1X
EEA1	RABEP1
Mcm2	RP5-824I19__A.1
THNSL1	UIMC1
CCT5	RP4-811H24.2
Strn3	TCP1
RABEP1	RABEP2
SUZ12	UHRF1
CLK1	HSPC070
APP	DUS3L
PARD6A	VHL
RP3-339A18.4	TUFM
EIF2AK3	ILF3
MAP3K1	RP11-187B3.1
ANXA2	MCM2
CD81	RP11-269F19.3
FAM103A1	RP11-17H4.1
