interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
EIF1AY	EIF5	O14602	P55010	IID
EIF1AY	HUWE1	O14602	Q7Z6Z7	IID
EIF1AY	EIF5B	O14602	O60841	IID
EIF1AY	EGFR	O14602	P00533	IID
EIF1AY	CUL3	O14602	Q13618	IID
HSFY1	MIS12	Q96LI6	Q9H081	IID
HSFY1	AIF1	Q96LI6	P55008	IID
HSFY1	RBFOX1	Q96LI6	Q9NWB1	IID
HSFY1	RBM47	Q96LI6	A0AV96	IID
HSFY1	RBPMS	Q96LI6	Q93062	IID
HSFY1	POTEF	Q96LI6	A5A3E0	IID
HSFY1	HSFY1	Q96LI6	Q96LI6	IID
HSFY1	PPM1A	Q96LI6	P35813	IID
HSFY1	GCM2	Q96LI6	O75603	IID
HSFY1	TUBA3C	Q96LI6	Q13748	IID
HSFY1	SMARCB1	Q96LI6	Q12824	IID
HSFY1	RAD51	Q96LI6	Q06609	IID
HSFY1	E2F7	Q96LI6	Q96AV8	IID
HSFY1	HGS	Q96LI6	O14964	IID
HSFY1	CHD3	Q96LI6	Q12873	IID
HSFY1	SOX15	Q96LI6	O60248	IID
HSFY1	JAK2	Q96LI6	O60674	IID
HSFY1	TBX6	Q96LI6	O95947	IID
HSFY1	QRICH1	Q96LI6	Q2TAL8	IID
HSFY1	HNRNPF	Q96LI6	P52597	IID
HSFY1	RABEP1	Q96LI6	Q15276	IID
HSFY1	BANP	Q96LI6	Q8N9N5	IID
HSFY1	NDUFS1	Q96LI6	P28331	IID
HSFY1	SATB2	Q96LI6	Q9UPW6	IID
HSFY1	SV2B	Q96LI6	Q7L1I2	IID
HSFY1	CHD4	Q96LI6	Q14839	IID
KDM5D	AR	Q9BY66	P10275	IID
KDM5D	HIST3H3	Q9BY66	Q16695	IID
KDM5D	PCGF6	Q9BY66	Q9BYE7	IID
NLGN4Y	PRIM2	Q8NFZ3	P49643	IID
NLGN4Y	PRIM1	Q8NFZ3	P49642	IID
NLGN4Y	NLGN3	Q8NFZ3	Q9NZ94	IID
RBMY1A1	IGF2BP1	P0DJD3	Q9NZI8	IID
RBMY1A1	CLK3	P0DJD3	P49761	IID
RBMY1A1	CIRBP	P0DJD3	Q14011	IID
RBMY1A1	TERF1	P0DJD3	P54274	IID
RBMY1A1	ZNF317	P0DJD3	Q96PQ6	IID
RBMY1A1	SRSF9	P0DJD3	Q13242	IID
RBMY1A1	RBM3	P0DJD3	P98179	IID
RBMY1A1	RBMY1C	P0DJD3	P0DJD4	IID
RBMY1A1	TRA2B	P0DJD3	P62995	IID
RBMY1A1	CBX2	P0DJD3	Q14781	IID
RBMY1A1	PRPF31	P0DJD3	Q8WWY3	IID
RBMY1A1	HNRNPK	P0DJD3	P61978	IID
RBMY1A1	DAAM2	P0DJD3	Q86T65	IID
RBMY1A1	YWHAE	P0DJD3	P62258	IID
RBMY1A1	PRR3	P0DJD3	P79522	IID
RBMY1A1	APOBEC3C	P0DJD3	Q9NRW3	IID
RBMY1A1	LNX1	P0DJD3	Q8TBB1	IID
RBMY1A1	PCDHB14	P0DJD3	Q9Y5E9	IID
RBMY1A1	RBMY1A1	P0DJD3	P0DJD3	IID
RBMY1A1	SRSF3	P0DJD3	P84103	IID
RBMY1A1	KHDRBS3	P0DJD3	O75525	IID
RBMY1A1	AEN	P0DJD3	Q8WTP8	IID
RBMY1A1	RBMX	P0DJD3	P38159	IID
RBMY1F	RBM10	Q15415	P98175	IID
RBMY1F	C17orf113	Q15415	A0A1B0GUU1	IID
RBMY1F	DAAM2	Q15415	Q86T65	IID
RBMY1F	APOBEC3C	Q15415	Q9NRW3	IID
RBMY1F	CLK3	Q15415	P49761	IID
RBMY1F	PRR3	Q15415	P79522	IID
RBMY1F	PCDHB14	Q15415	Q9Y5E9	IID
RBMY1F	RASD1	Q15415	Q9Y272	IID
RBMY1F	CIRBP	Q15415	Q14011	IID
RBMY1F	RBMY1F	Q15415	Q15415	IID
RBMY1F	ZNF385C	Q15415	Q66K41	IID
RBMY1F	YTHDC1	Q15415	Q96MU7	IID
RBMY1F	PRPF31	Q15415	Q8WWY3	IID
RBMY1F	HNRNPK	Q15415	P61978	IID
RBMY1F	FAM103A1	Q15415	Q9BTL3	IID
RBMY1F	RBM3	Q15415	P98179	IID
RBMY1F	CBX2	Q15415	Q14781	IID
RBMY1F	AEN	Q15415	Q8WTP8	IID
RBMY1F	RBMX	Q15415	P38159	IID
RPS4Y1	CALM3	P22090	P0DP25	IID
RPS4Y1	RNF2	P22090	Q99496	IID
RPS4Y1	LRRK2	P22090	Q5S007	IID
RPS4Y1	CD81	P22090	P60033	IID
RPS4Y1	CYLD	P22090	Q9NQC7	IID
RPS4Y1	ZNF746	P22090	Q6NUN9	IID
RPS4Y1	ICAM1	P22090	P05362	IID
RPS4Y1	HTR7	P22090	P34969	IID
RPS4Y1	IGSF8	P22090	Q969P0	IID
RPS4Y1	CLK1	P22090	P49759	IID
RPS4Y1	ESR2	P22090	Q92731	IID
RPS4Y1	PRPS1	P22090	P60891	IID
